,abbr,date,daily_records,tested,positive,deaths,population,multipliler,tested_pm,positive_pm,deaths_pm,daily_tests,daily_positive,daily_deaths,daily_tests_pm,daily_positive_pm,daily_deaths_pm,daily_tests_7day_mean,daily_positive_7day_mean,daily_deaths_7day_mean,daily_tests_pm_7day_mean,daily_positive_pm_7day_mean,daily_deaths_pm_7day_mean,daily_test_rk,daily_positive_rk,daily_deaths_rk,daily_test_pm_rk,daily_positive_pm_rk,daily_deaths_pm_rk
57,CO,2020-03-09,2,275.0,9.0,0.0,5758736,0,47.753534803470764,1.5628429572044977,0.0,59.0,1.0,0.0,10.245303830562818,0.17364921746716644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1
58,CT,2020-03-09,1,47.0,1.0,0.0,3565287,0,13.182669445685578,0.28048232863160805,0.0,9.0,0.0,0.0,2.524340957684471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1
59,DC,2020-03-09,1,18.0,1.0,0.0,973764,1,18.48497171799327,1.0269428732218484,0.0,7.0,0.0,0.0,7.188600112552939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1
60,DE,2020-03-09,1,18.0,0.0,0.0,705749,1,25.50481828525439,0.0,0.0,8.0,0.0,0.0,11.335474793446396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1
61,FL,2020-03-09,2,273.0,18.0,2.0,21477737,0,12.7108363418362,0.8380771214397494,0.09311968015997216,30.0,1.0,0.0,1.3967952023995824,0.04655984007998604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1
62,GA,2020-03-09,3,0.0,12.0,0.0,10617423,0,0.0,1.1302177562295483,0.0,0.0,12.0,0.0,0.0,1.1302177562295483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1
63,HI,2020-03-09,1,0.0,2.0,0.0,1415872,0,0.0,1.4125570673055192,0.0,0.0,1.0,0.0,0.0,0.7062785336527596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1
64,IA,2020-03-09,1,37.0,3.0,0.0,3155070,0,11.727156608252749,0.9508505358042769,0.0,20.0,3.0,0.0,6.3390035720285125,0.9508505358042769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1
65,ID,2020-03-09,1,41.0,0.0,0.0,1787065,0,22.942646182427612,0.0,0.0,14.0,0.0,0.0,7.834074306194795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1
66,IL,2020-03-09,2,262.0,11.0,0.0,12671821,0,20.67579710919212,0.8680678175615012,0.0,21.0,5.0,0.0,1.657220378981048,0.39457628070977324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1
67,IN,2020-03-09,0,0.0,1.0,0.0,6732219,0,0.0,0.14853943402613612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1
68,KS,2020-03-09,0,0.0,1.0,0.0,2913314,0,0.0,0.34325170578935194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1
69,KY,2020-03-09,1,21.0,4.0,0.0,4467673,0,4.700433536653198,0.8953206736482281,0.0,7.0,3.0,0.0,1.5668111788843997,0.671490505236171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1
70,LA,2020-03-09,1,8.0,1.0,0.0,4648794,0,1.720876425154567,0.21510955314432087,0.0,0.0,1.0,0.0,0.0,0.21510955314432087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1
